Indian Gardens Paleo Site,Arizona,34.321974,-111.110955,,Marine fossils.
Sharktooth Hill,California,35.441876,-118.905526,https://www.fossilguy.com/sites/sharktooth-hill/index.htm,Miocene-age shark teeth.
Florissant Fossil Quarry,Colorado,38.944147,-105.28842,https://www.florissantfossilquarry.com/,Insects and plants in shale.
Peace River,Florida,27.220116,-81.876817,,"Miocene to Pliocene shark teeth, mammal bones.  Note that the map only shows a common starting point: there are many miles of sites along the river."
Mazon Creek,Illinois,41.188835,-88.230053,https://nautiloid.net/fossils/sites/mazon/mazon.html,"Soft-bodied fauna, including jellyfish.  Permit is required.  Surface collecting only."
Bon Well Hill - roadcut,Indiana,39.43693,-84.993,,"Ordovician marine fossils, including brachiopods, bryozoa, and trilobites."
Brookville North - roadcuts,Indiana,39.4875,-84.94861,,"Ordovician marine fossils, including brachiopods, bryozoa, and trilobites."
Garr Hill - roadcut,Indiana,39.480417,-84.948358,,"Ordovician marine fossils, including brachiopods, bryozoa, and trilobites."
Richmond - roadcuts,Indiana,39.78722,-84.90166,,
South Gate Hill - roadcuts,Indiana,39.339,-84.95286,,
Tell City - roadcut,Indiana,37.957847,-86.724334,,Blastoid echinoderms.
Ashlock Cemetery - roadcut,Kentucky,37.57361,-84.61361,,
Bedford - roadcuts,Kentucky,38.60222,-85.27361,,
Bighill exposure,Kentucky,37.529363,-84.212426,,"Small phosphate nodules, fish teeth, scales, small fragmented bones, and conodonts.  Phosphatized invertebrate remains, including, gastropods, brachiopods, and crinoid debris are also present."
Bybee - roadcuts,Kentucky,37.72322,-84.10935,,
Clays Ferry - roadcuts,Kentucky,37.88102,-84.33972,,
Flemingsburg - roadcuts,Kentucky,38.40374,-83.72613,,
Fredericktown - roadcut,Kentucky,37.76917,-85.35694,,
Lincoln County Line - roadcuts,Kentucky,37.57778,-84.61,,
Maysville - roadcut,Kentucky,38.679081,-83.794398,,
Orphanage Road - roadcut,Kentucky,39.02972,-84.54166,,
Riedlin Road - roadcuts,Kentucky,39.02778,-84.51056,,
Calvert Cliffs,Maryland,38.402222,-76.407975,http://www.mgs.md.gov/geology/fossils/fossil_collecting.html,"Miocene-age formations.  Some areas are restricted, and some have fees.  Beach collecting only: digging into the cliffs is not permitted."
Lafarge Fossil Park,Michigan,45.081325,-83.448752,https://www.bessermuseum.org/fossil-park,Devonian-age limestone.
Big Brook,New Jersey,40.326349,-74.224072,https://www.monmouthcountyparks.com/page.aspx?Id=2549,"Cretaceous-age fossils including teeth from sharks, Mosasaur, and Enchodus."
Penn Dixie Fossil Park,New York,42.776627,-78.83098,https://penndixie.org/,"Trilobites, prehistoric crabs, sea lilies, starfish, mollusks, coral, and snails."
Blue Rock Road - roadcuts,Ohio,39.22972,-84.62112,,
Caesar Creek - spillway,Ohio,39.479961,-84.057065,https://ohiodnr.gov/wps/portal/gov/odnr/go-and-do/plan-a-visit/find-a-property/caesar-creek-state-park-campground,"Ordovician marine fossils, including brachiopods, bryozoa, and trilobites."
